wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,target_error_x_m,target_error_y_m,target_error_m,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779209063.4392822,0.0017654895782470703,figure8,0,0.0,0.0,-0.0,0.0,0.0021894816,0.010167809,0.0,0.0,0.0,0,0.0021894816,0.010167809,0.03771079,-0.0019482565112411976,-0.019612401723861694,0.64515221118927,0.7637999057769775,80.39523215421782,0.07846665382385254,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.080351829528809,112.76335906982422
1779209063.463817,0.02630019187927246,figure8,0,0.0,-0.0006270602,-0.0006190484,0.0,0.0021894816,0.010167809,-2.665352e-05,-1.8687919e-05,3.2552242320198076e-05,0,0.002162828,0.010149121,0.03773352,-0.0019421771867200732,-0.018900010734796524,0.645232081413269,0.7637503147125244,80.40430596009831,0.015121698379516602,40,-2.665352e-05,-1.8687919e-05,3.2552242320198076e-05,-9.09887e-05,-6.379606e-05,0.00011112551925123382,2.2869448e-05,-2.3165425e-05,-7.807079e-05,7.908118e-05,4.080351829528809,112.76335906982422
1779209063.5464983,0.10898160934448242,figure8,0,0.0,0.0013706615,-0.00048212532,0.0,0.0021894816,0.010167809,4.004594e-05,-2.923794e-05,4.9583611073662255e-05,0,0.0022295276,0.010138571,0.03769506,-0.0015334702329710126,-0.020430242642760277,0.6452210545539856,0.7637211680412292,80.40887743214817,0.013669729232788086,41,4.004594e-05,-2.923794e-05,4.9583611073662255e-05,0.00017414261,-8.227616e-05,0.00019260065753601646,2.2156955e-05,4.435768e-05,-5.211115e-05,-0.00018541695,4.080351829528809,112.71284484863281
1779209063.6283653,0.19084858894348145,figure8,0,0.0,-0.0003217077,-0.0003150722,0.0,0.0021894816,0.010167809,-1.2659468e-05,-1.6888604e-05,2.110656381671865e-05,0,0.0021768222,0.010150921,0.03773387,-0.0013489078264683485,-0.020447153598070145,0.6452356576919556,0.7637088894844055,80.4110758715947,0.002810955047607422,42,-1.2659468e-05,-1.6888604e-05,2.110656381671865e-05,-4.8620466e-05,-1.7638915e-05,5.1721185655074506e-05,1.8761431e-05,-9.66932e-06,-2.5491576e-05,4.5002897e-05,4.080351829528809,112.70972442626953
1779209063.8173835,0.3798668384552002,figure8,0,0.0,-0.00020742664,0.00021202292,0.0,0.0021894816,0.010167809,-5.7490543e-06,8.790754e-06,1.0503760046884693e-05,0,0.0021837326,0.0101766,0.03771993,-0.00207653921097517,-0.019304420799016953,0.6451455950737,0.7638129591941833,80.39301289922032,0.014726400375366211,43,-5.7490543e-06,8.790754e-06,1.0503760046884693e-05,-2.2328557e-05,3.115183e-05,3.832754780710844e-05,-7.708015e-06,-7.1355075e-06,2.6988555e-05,2.7214312e-05,4.080351829528809,112.78001403808594
1779209063.8792024,0.44168567657470703,figure8,0,0.0,1.8633036e-06,-2.4567491e-05,0.0,0.0021894816,0.010167809,-1.4100224e-06,1.5860423e-06,2.122190713658807e-06,0,0.0021880716,0.010169395,0.037714064,-0.001889884122647345,-0.019411444664001465,0.6452129483222961,0.7637538909912109,80.40349435125168,0.004221439361572266,44,-1.4100224e-06,1.5860423e-06,2.122190713658807e-06,2.3683679e-06,-8.0789505e-06,8.418943433587061e-06,-1.3287847e-06,-1.6546977e-06,-7.5710677e-06,-3.682056e-06,4.080351829528809,112.78001403808594
1779209063.9626813,0.5251646041870117,figure8,0,0.0,-0.00014742173,-6.99016e-05,0.0,0.0021894816,0.010167809,-6.509945e-06,5.112961e-07,6.529992655594407e-06,0,0.0021829717,0.0101683205,0.0377144,-0.0019699917174875736,-0.019746752455830574,0.6450490355491638,0.7638834118843079,80.38031999137586,0.01136922836303711,45,-6.509945e-06,5.112961e-07,6.529992655594407e-06,-1.8386083e-05,-9.879281e-06,2.087218752190132e-05,5.837533e-07,-6.503848e-06,-1.2812815e-05,1.647665e-05,4.080351829528809,112.78414154052734
1779209064.0254126,0.5878958702087402,figure8,0,0.0,-0.00078783114,-0.0012919082,0.0,0.0021894816,0.010167809,-3.430061e-05,-3.531389e-05,4.923009904420264e-05,0,0.002155181,0.010132495,0.037728757,-0.0018561462638899684,-0.01935497112572193,0.645078718662262,0.7638686895370483,80.38311218168847,0.0028700828552246094,46,-3.430061e-05,-3.531389e-05,4.923009904420264e-05,-0.00012991577,-0.00015779986,0.00020439888427290672,4.0547857e-05,-2.7919063e-05,-0.00017728593,0.0001017281,4.080351829528809,112.80219268798828
1779209064.1104054,0.6728887557983398,figure8,0,0.0,-0.0005236138,0.00066214043,0.0,0.0021894816,0.010167809,-2.0876527e-05,2.1032989e-05,2.9634709378060468e-05,0,0.002168605,0.010188842,0.03774702,-0.0021433073561638594,-0.018571335822343826,0.6450928449630737,0.7638754844665527,80.38217788374068,0.00976872444152832,47,-2.0876527e-05,2.1032989e-05,2.9634709378060468e-05,-3.9372255e-05,0.00010599732,0.00011307345555623861,-1.7249396e-05,-2.4097184e-05,9.7929296e-05,5.652839e-05,4.080351829528809,112.77861022949219
1779209064.2154849,0.777968168258667,figure8,0,0.0,-0.0009863101,-7.6769444e-05,0.0,0.0021894816,0.010167809,-4.5695342e-05,1.899898e-06,4.5734822019543274e-05,0,0.0021437863,0.010169709,0.037758134,-0.0017311415867879987,-0.019408412277698517,0.6451386213302612,0.7638170719146729,80.39227563230527,0.019521236419677734,48,-4.5695342e-05,1.899898e-06,4.5734822019543274e-05,-0.00010566702,1.39850345e-05,0.00010658846744837184,5.75338e-06,-4.5371497e-05,-3.847129e-06,0.000106519015,4.080351829528809,112.72815704345703
