wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,target_error_x_m,target_error_y_m,target_error_m,xy_control_active,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779210471.7187781,0.0005564689636230469,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,0.0,0.0,0.0,0,0,0.0061342753,0.0057141846,0.03715757,0.007726565469056368,0.006335183512419462,-0.6298300623893738,-0.7766687870025635,78.07987373588266,0.03992629051208496,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03812313079834,115.52714538574219
1779210471.7829978,0.06477618217468262,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,-7.4055046e-05,-0.000107755885,0.0001307496867556633,0,0,0.0060602203,0.0056064287,0.037289187,0.006005764473229647,0.008776074275374413,-0.6308442950248718,-0.7758365273475647,78.23367817492033,0.010118484497070312,54,-7.4055046e-05,-0.000107755885,0.0001307496867556633,-0.00023627673,-0.00034380113,0.0004171641327817422,0.0,0.0,0.0,0.0,4.03812313079834,115.52505493164062
1779210471.8648996,0.14667797088623047,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,-7.004477e-05,-0.00011672452,0.00013612818772888236,0,0,0.0060642306,0.00559746,0.037214816,0.005423621740192175,0.011355796828866005,-0.6307427883148193,-0.7758899331092834,78.22429210430131,0.01894378662109375,55,-7.004477e-05,-0.00011672452,0.00013612818772888236,-0.00014893037,-0.00027747964,0.00031492094747879095,0.0,0.0,0.0,0.0,4.03812313079834,115.52505493164062
1779210471.9459605,0.2277388572692871,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,3.1316653e-05,1.8973835e-05,3.661610404340265e-05,0,0,0.006165592,0.0057331584,0.03719953,0.007501843851059675,0.006076326128095388,-0.6298345327377319,-0.7766693234443665,78.08015539598028,0.018509864807128906,56,3.1316653e-05,1.8973835e-05,3.661610404340265e-05,0.00026888205,0.00030529924,0.0004068232843241533,0.0,0.0,0.0,0.0,4.03812313079834,115.54109954833984
1779210472.027337,0.3091154098510742,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,-2.5149435e-05,-2.179807e-05,3.3281375748957334e-05,0,0,0.006109126,0.0056923865,0.03721979,0.0067283823154866695,0.007960237562656403,-0.6299918293952942,-0.7765317559242249,78.10636805215518,0.018627166748046875,57,-2.5149435e-05,-2.179807e-05,3.3281375748957334e-05,-2.0249005e-05,6.31842e-05,6.634956834093096e-05,0.0,0.0,0.0,0.0,4.03812313079834,115.53824615478516
1779210472.0891838,0.37096214294433594,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,-8.827075e-06,-1.7567538e-05,1.9660509577107942e-05,0,0,0.0061254483,0.005696617,0.03722954,0.006988060660660267,0.0076760174706578255,-0.6298972964286804,-0.7766090035438538,78.09193207449299,0.006968498229980469,58,-8.827075e-06,-1.7567538e-05,1.9660509577107942e-05,5.2442676e-05,6.149515e-05,8.082009326490088e-05,0.0,0.0,0.0,0.0,4.03812313079834,115.56381225585938
1779210472.1727936,0.4545719623565674,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,1.2333505e-05,5.7099387e-06,1.3591127263905664e-05,0,0,0.006146609,0.0057198945,0.03718985,0.007408673409372568,0.0064497580751776695,-0.6298065781593323,-0.776689887046814,78.0765765197709,0.016622304916381836,59,1.2333505e-05,5.7099387e-06,1.3591127263905664e-05,0.00012254703,0.0001374709,0.00018416303583301707,0.0,0.0,0.0,0.0,4.03812313079834,115.56381225585938
1779210472.2549086,0.536686897277832,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,2.3169443e-05,9.631272e-06,2.5091522386023464e-05,0,0,0.006157445,0.005723816,0.037195522,0.007591549307107925,0.006062230560928583,-0.6298500299453735,-0.7766560316085815,78.08242208275217,0.017192602157592773,60,2.3169443e-05,9.631272e-06,2.5091522386023464e-05,0.00012564799,0.00011065608,0.0001674281527997805,0.0,0.0,0.0,0.0,4.03812313079834,115.5018539428711
1779210472.3569393,0.6387176513671875,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,-1.712609e-05,3.9446168e-06,1.7574498306889023e-05,0,0,0.0061171493,0.005718129,0.03719926,0.007179676089435816,0.007195525802671909,-0.629956841468811,-0.7765636444091797,78.09991331386807,0.017774343490600586,61,-1.712609e-05,3.9446168e-06,1.7574498306889023e-05,-3.120637e-05,6.064296e-05,6.82012197191598e-05,0.0,0.0,0.0,0.0,4.03812313079834,115.48766326904297
1779210472.4380338,0.7198121547698975,hold-xy,0,0.0,0.0,0.0,0.0,0.0061342753,0.0057141846,-4.8568472e-05,-2.018921e-05,5.25975340122767e-05,0,0,0.006085707,0.0056939954,0.037230052,0.006158681120723486,0.009120718576014042,-0.6301674246788025,-0.776381254196167,78.1344456667072,0.017899513244628906,62,-4.8568472e-05,-2.018921e-05,5.25975340122767e-05,-0.00013834184,-4.6968325e-05,0.00014609753195401982,0.0,0.0,0.0,0.0,4.03812313079834,115.49192810058594
