wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779208292.0984848,0.0013082027435302734,figure8,0,0.0,0.0,-0.0,0.0,0.017932285,0.00036355783,0,0.017932285,0.00036355783,0.03741913,0.0054048835299909115,0.017828496173024178,-0.6583054065704346,-0.7525203824043274,82.37678144603338,0.009440183639526367,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.101466178894043,112.63343811035156
1779208292.1670122,0.06983566284179688,figure8,0,0.0,6.628713e-05,-0.0012796985,0.0,0.017932285,0.00036355783,0,0.017927935,0.00031027943,0.037454817,0.005749486852437258,0.015982117503881454,-0.6582915782928467,-0.7525714039802551,82.36790639454539,0.01119542121887207,56,-4.3492764e-06,-5.3278403e-05,5.3455630716306245e-05,-1.9540807e-05,-0.00023937383,0.00024017008763619995,5.338406e-05,2.7652422e-06,-0.00023984854,-1.24239195e-05,4.101466178894043,112.61885833740234
1779208292.2494211,0.15224456787109375,figure8,0,0.0,-0.002875667,0.00041344363,0.0,0.017932285,0.00036355783,0,0.017806612,0.00039003423,0.03747463,0.005641873925924301,0.016008416190743446,-0.6579729914665222,-0.7528502345085144,82.31948685497397,0.020292043685913086,57,-0.00012567267,2.6476395e-05,0.00012843137858013025,-0.00051014405,0.00015880163,0.0005342891470104582,-9.442823e-06,-0.00012808378,8.919667e-05,0.0005267911,4.101466178894043,112.55717468261719
1779208292.3309264,0.2337498664855957,figure8,0,0.0,0.00018251053,-0.00013572058,0.0,0.017932285,0.00036355783,0,0.017919606,0.00035331352,0.037420712,0.005051684100180864,0.018390454351902008,-0.6583766937255859,-0.7524469494819641,82.38978481664545,0.020478010177612305,58,-1.26790255e-05,-1.02443155e-05,1.6300419665738846e-05,5.9750804e-05,-2.4307425e-05,6.450588589334095e-05,1.18332055e-05,-1.1210661e-05,-1.6180336e-05,-6.244362e-05,4.101466178894043,112.64025115966797
1779208292.392974,0.29579734802246094,figure8,0,0.0,0.000115752264,-0.0002867517,0.0,0.017932285,0.00036355783,0,0.017918907,0.00034511602,0.037430484,0.005065877456218004,0.018457449972629547,-0.6583530902862549,-0.7524659633636475,82.38646396299326,0.0011258125305175781,59,-1.33775175e-05,-1.8441817e-05,2.278285701794467e-05,3.9251256e-05,-4.7227237e-05,6.140906111782679e-05,2.0051633e-05,-1.08162185e-05,-4.1610474e-05,-4.5162393e-05,4.101466178894043,112.64025115966797
1779208292.5767934,0.4796168804168701,figure8,0,0.0,-2.8538598e-05,-0.0004132932,0.0,0.017932285,0.00036355783,0,0.017910384,0.0003327839,0.037406117,0.005027668084949255,0.018761856481432915,-0.6583747267723083,-0.7524396181106567,82.39098410297171,0.018661022186279297,60,-2.1900982e-05,-3.0773925e-05,3.777151618426052e-05,1.2098366e-05,-5.53079e-05,5.661567311543069e-05,3.3402914e-05,-1.763329e-05,-5.3218926e-05,-1.9315286e-05,4.101466178894043,112.70572662353516
1779208292.5971608,0.4999842643737793,figure8,0,0.0,0.0017609635,-0.0002743991,0.0,0.017932285,0.00036355783,0,0.017938089,0.00033024745,0.037404545,0.005070775747299194,0.01833907701075077,-0.6584388613700867,-0.7523937225341797,82.39905012841001,0.018762588500976562,61,5.8040023e-06,-3.331038e-05,3.381224518979337e-05,0.00041859274,-7.626334e-05,0.000425483221750459,3.2249984e-05,1.0159063e-05,-2.0224797e-05,-0.00042500228,4.101466178894043,112.6796875
1779208292.678991,0.5818145275115967,figure8,0,0.0,0.0010293431,1.853286e-05,0.0,0.017932285,0.00036355783,0,0.017929155,0.0003445868,0.03740854,0.0049068499356508255,0.01930815353989601,-0.6583973169326782,-0.752406895160675,82.39666371282524,0.018472671508789062,62,-3.1292439e-06,-1.897104e-05,1.92273907316429e-05,0.00026038015,-1.0001095e-06,0.0002603820839873002,1.9218289e-05,-5.915947e-07,3.346065e-05,-0.00025822318,4.101466178894043,112.6796875
1779208292.7600286,0.6628520488739014,figure8,0,0.0,0.0008370898,0.0007300144,0.0,0.017932285,0.00036355783,0,0.017940518,0.0003829659,0.03737121,0.005249328911304474,0.017596416175365448,-0.6584736704826355,-0.7523797154426575,82.40147375746965,0.0072650909423828125,63,8.232892e-06,1.9408064e-05,2.108206456372019e-05,0.0002192181,0.00012411666,0.0002519157011444264,-2.0326284e-05,5.594252e-06,0.00015201418,-0.00020088107,4.101466178894043,112.70679473876953
1779208292.987495,0.8903183937072754,figure8,0,0.0,0.00039452783,0.00030753843,0.0,0.017932285,0.00036355783,0,0.01792054,0.0003647064,0.037410654,0.00517370505258441,0.01845594495534897,-0.658296525478363,-0.752514660358429,82.37786726745489,0.019759178161621094,64,-1.1743978e-05,1.1485536e-06,1.1800008000988232e-05,0.00012557437,6.139999e-05,0.00013978154647728428,4.193073e-07,-1.1792556e-05,7.751357e-05,-0.00011632079,4.101466178894043,112.67986297607422
1779208293.0280783,0.9309017658233643,figure8,0,0.0,0.00046876233,4.295452e-05,0.0,0.017932285,0.00036355783,0,0.017926902,0.00035803462,0.037407737,0.00538564333692193,0.01786746084690094,-0.658307671546936,-0.752517580986023,82.37727407135166,0.00979471206665039,65,-5.3830445e-06,-5.5232085e-06,7.712522405635521e-06,0.00012565401,3.3832694e-06,0.0001256995540761693,6.1884584e-06,-4.6028235e-06,2.0021318e-05,-0.00012409482,4.101466178894043,112.67033386230469
1779208293.109789,1.0126123428344727,figure8,0,0.0,0.00014274352,0.0002570441,0.0,0.017932285,0.00036355783,0,0.017919797,0.00037083798,0.03742801,0.004975467920303345,0.018812915310263634,-0.6583794951438904,-0.7524346113204956,82.39190880975696,0.007424116134643555,66,-1.2487173e-05,7.2801486e-06,1.4454412952911067e-05,6.2610416e-05,4.805042e-05,7.892342597630858e-05,-5.5628043e-06,-1.3341112e-05,5.591682e-05,-5.5697546e-05,4.101466178894043,112.6622314453125
1779208293.1913576,1.0941810607910156,figure8,0,0.0,-0.00035345857,0.00094856776,0.0,0.017932285,0.00036355783,0,0.01790547,0.00040654012,0.037452713,0.005004187114536762,0.018786273896694183,-0.6581798195838928,-0.7526096701622009,82.3614035033761,0.016952037811279297,67,-2.681464e-05,4.2982283e-05,5.0660649974146106e-05,-1.5836682e-05,0.00018230996,0.0001829965103956129,-3.903656e-05,-3.2290074e-05,0.0001785871,3.9929535e-05,4.101466178894043,112.6622314453125
1779208293.2725914,1.175414800643921,figure8,0,0.0,-0.00030000927,-0.00017273315,0.0,0.017932285,0.00036355783,0,0.017899865,0.00036273035,0.037409622,0.005199117120355368,0.018520213663578033,-0.658138632774353,-0.7526509761810303,82.3540937593362,0.015627622604370117,68,-3.241934e-05,-8.274801e-07,3.242989628403942e-05,-3.1452048e-05,-3.157904e-05,4.4569799089739805e-05,5.1335333e-06,-3.202101e-05,-3.548299e-05,2.6970807e-05,4.101466178894043,112.62725830078125
