wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,target_error_x_m,target_error_y_m,target_error_m,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779208699.3065217,0.0011832714080810547,figure8,0,0.0,0.0,-0.0,0.0,0.0048891515,0.0019337626,0.0,0.0,0.0,0,0.0048891515,0.0019337626,0.037476994,0.007144297007471323,0.007390931248664856,-0.6295607686042786,-0.7768832445144653,78.04180960256977,0.08249831199645996,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.096187591552734,112.02513885498047
1779208699.3324344,0.027096033096313477,figure8,0,0.0,0.0027007088,0.00023899772,0.0,0.0048891515,0.0019337626,9.844592e-05,-1.1860393e-05,9.915779064029675e-05,0,0.0049875975,0.0019219022,0.037486397,0.007488306146115065,0.007380232214927673,-0.6297732591629028,-0.7767078876495361,78.07314673299518,0.021920442581176758,58,9.844592e-05,-1.1860393e-05,9.915779064029675e-05,0.0003414679,-4.1138766e-05,0.0003439371047941976,-8.740754e-06,9.8771794e-05,3.0318035e-05,-0.0003425982,4.096187591552734,112.0098876953125
1779208699.3955014,0.09016299247741699,figure8,0,0.0,0.0014702546,-0.00031714383,0.0,0.0048891515,0.0019337626,7.107621e-05,-2.378854e-05,7.495146621217196e-05,0,0.0049602278,0.001909974,0.037502266,0.007619602605700493,0.006228037178516388,-0.6297910213470459,-0.7767022252082825,78.07395446400584,0.007950067520141602,59,7.107621e-05,-2.378854e-05,7.495146621217196e-05,0.00013244398,-7.524792e-05,0.0001523274685076598,8.587242e-06,7.4457916e-05,-4.6254285e-05,-0.0001451351,4.096187591552734,112.0098876953125
1779208699.4782324,0.17289400100708008,figure8,0,0.0,0.0008707646,-5.8427744e-05,0.0,0.0048891515,0.0019337626,5.851267e-05,-1.3843062e-05,6.012788600892001e-05,0,0.004947664,0.0019199195,0.037526067,0.007279505021870136,0.0073332698084414005,-0.6300016641616821,-0.77652508020401,78.10675923797761,0.00036072731018066406,60,5.851267e-05,-1.3843062e-05,6.012788600892001e-05,5.0980845e-05,-1.9639534e-05,5.4632936716521374e-05,1.4870948e-06,6.0109494e-05,-8.711359e-06,-5.3933945e-05,4.096187591552734,111.9627456665039
1779208699.582107,0.27676868438720703,figure8,0,0.0,0.00082834455,-0.0006385802,0.0,0.0048891515,0.0019337626,5.5297744e-05,-3.6165235e-05,6.607393312564246e-05,0,0.0049444493,0.0018975973,0.037532937,0.007196672726422548,0.007460364606231451,-0.629919707775116,-0.7765910625457764,78.09487734077847,0.012584447860717773,61,5.5297744e-05,-3.6165235e-05,6.607393312564246e-05,2.5163212e-05,-8.681458e-05,9.03878202161369e-05,2.3979876e-05,6.1568906e-05,-7.975628e-05,-4.253109e-05,4.096187591552734,111.92212677001953
1779208699.664078,0.35873961448669434,figure8,0,0.0,0.0011809444,-0.0009930336,0.0,0.0048891515,0.0019337626,6.7047775e-05,-5.699531e-05,8.799925877873452e-05,0,0.0049561993,0.0018767673,0.03748861,0.007497048005461693,0.006461739540100098,-0.6300393342971802,-0.7765001654624939,78.11093701158615,0.0029871463775634766,62,6.7047775e-05,-5.699531e-05,8.799925877873452e-05,5.6110235e-05,-0.00012901465,0.00014068808689946674,4.195966e-05,7.735152e-05,-0.00011468739,-8.1485836e-05,4.096187591552734,111.90914916992188
1779208699.7478213,0.44248294830322266,figure8,0,0.0,0.00035145966,0.00043871754,0.0,0.0048891515,0.0019337626,5.1847193e-05,-8.554547e-06,5.254818594247299e-05,0,0.0049409987,0.001925208,0.037515316,0.007229818031191826,0.008020065724849701,-0.6299858093261719,-0.7765315771102905,78.10561613854445,0.005450010299682617,63,5.1847193e-05,-8.554547e-06,5.254818594247299e-05,-1.6827024e-05,8.848093e-05,9.006676997253796e-05,-2.3152606e-06,5.249716e-05,8.311299e-05,3.4702385e-05,4.096187591552734,111.95506286621094
1779208699.8289237,0.523585319519043,figure8,0,0.0,0.00070301065,-0.00084136555,0.0,0.0048891515,0.0019337626,5.360227e-05,-4.6768808e-05,7.113736632757154e-05,0,0.004942754,0.0018869938,0.03749408,0.007365172263234854,0.007802317850291729,-0.629923403263092,-0.7765831351280212,78.0960236293813,0.01580953598022461,64,5.360227e-05,-4.6768808e-05,7.113736632757154e-05,-4.3361388e-06,-0.000100119025,0.00010021287819961784,3.4706376e-05,6.209663e-05,-9.886036e-05,-1.6408872e-05,4.096187591552734,111.8843002319336
1779208699.8912172,0.585878849029541,figure8,0,0.0,0.0013579349,-0.001177652,0.0,0.0048891515,0.0019337626,7.254258e-05,-6.736349e-05,9.899629027405373e-05,0,0.004961694,0.0018663991,0.037493795,0.0071953050792217255,0.007358899340033531,-0.6299298405647278,-0.7765838503837585,78.09620125457211,0.0024569034576416016,65,7.254258e-05,-6.736349e-05,9.899629027405373e-05,7.2078794e-05,-0.0001517584,0.000168005849793521,5.0951574e-05,8.4877574e-05,-0.00013362727,-0.00010183182,4.096187591552734,111.8843002319336
1779208700.0145977,0.7092592716217041,figure8,0,0.0,0.00015867362,0.0004312445,0.0,0.0048891515,0.0019337626,4.0287618e-05,2.737157e-06,4.0380491727785554e-05,0,0.004929439,0.0019364997,0.03751183,0.007335280068218708,0.007466321811079979,-0.6298770308494568,-0.776624321937561,78.08859612153208,0.008085966110229492,66,4.0287618e-05,2.737157e-06,4.0380491727785554e-05,-3.1722146e-05,7.236745e-05,7.901482602457116e-05,-1.0993541e-05,3.8855196e-05,6.426182e-05,4.597567e-05,4.096187591552734,111.9173583984375
