wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,battery_v,estimate_z
1779198412.7486155,0.0008261203765869141,guard-only,0,0.0,0.0,0.0,0.0,0.002828557,0.0066032894,0.037743833,0.0011158002307638526,-0.01452019065618515,0.6622343063354492,0.7491552829742432,0.06372666358947754,63,4.373584e-05,3.312435e-05,5.48638880529054e-05,4.127859115600586,105.04505157470703
1779198412.7706153,0.022825956344604492,guard-only,0,0.0,0.0,0.0,0.0,0.0028288616,0.0066320472,0.037774615,0.0013553801691159606,-0.014849133789539337,0.6622960567474365,0.7490938305854797,9.655952453613281e-05,64,4.4040382e-05,6.1882194e-05,7.595367870393699e-05,4.127859115600586,105.04505157470703
1779198412.87346,0.1256706714630127,guard-only,0,0.0,0.0,0.0,0.0,0.00283645,0.0066257003,0.03773896,0.0010202692355960608,-0.014708380214869976,0.6623309254646301,0.7490663528442383,0.010208845138549805,65,5.16288e-05,5.553523e-05,7.582674292346175e-05,4.127859115600586,105.07372283935547
1779198412.9543273,0.20653796195983887,guard-only,0,0.0,0.0,0.0,0.0,0.0028224792,0.0065988284,0.03773762,0.0006406117463484406,-0.013882181607186794,0.6623730659484863,0.7490452527999878,0.00013208389282226562,66,3.765803e-05,2.8663315e-05,4.7325602347725624e-05,4.122580528259277,105.05072021484375
1779198413.0353677,0.2875783443450928,guard-only,0,0.0,0.0,0.0,0.0,0.002826807,0.0066614947,0.037787102,0.0002890472824219614,-0.012310637161135674,0.66229248046875,0.7491441965103149,0.004015207290649414,67,4.1985884e-05,9.132968e-05,0.00010051828538188662,4.127859115600586,105.00798034667969
1779198413.1165154,0.3687260150909424,guard-only,0,0.0,0.0,0.0,0.0,0.0028364416,0.0066444036,0.0377837,0.0002459002716932446,-0.011917170137166977,0.6622046828269958,0.749228298664093,0.0018596649169921875,68,5.1620416e-05,7.423852e-05,9.042137082587964e-05,4.127859115600586,105.00798034667969
1779198413.1991518,0.45136237144470215,guard-only,0,0.0,0.0,0.0,0.0,0.002803089,0.006645961,0.037740637,0.000881397514604032,-0.014509733766317368,0.6622881889343262,0.7491081953048706,0.002729654312133789,69,1.8267892e-05,7.579615e-05,7.796648380167096e-05,4.127859115600586,105.0704574584961
1779198413.2819288,0.5341393947601318,guard-only,0,0.0,0.0,0.0,0.0,0.0027865432,0.0066496655,0.037788495,0.0003087272052653134,-0.012706642039120197,0.6621716618537903,0.7492443323135376,0.00391697883605957,70,1.7220154e-06,7.950049e-05,7.951913606372352e-05,4.127859115600586,105.13760375976562
1779198413.3638554,0.6160659790039062,guard-only,0,0.0,0.0,0.0,0.0,0.0028003259,0.006601062,0.03772737,0.0007868183893151581,-0.014220576733350754,0.6622616648674011,0.749137282371521,0.02008533477783203,71,1.5504658e-05,3.0897092e-05,3.4569129954713786e-05,4.127859115600586,105.14037322998047
1779198413.4260032,0.6782138347625732,guard-only,0,0.0,0.0,0.0,0.0,0.0028255535,0.0066492166,0.03777839,0.00016162484826054424,-0.011755459941923618,0.6622814536094666,0.7491629719734192,0.009571552276611328,72,4.0732324e-05,7.905159e-05,8.89284920605522e-05,4.127859115600586,105.14037322998047
1779198413.497429,0.7496395111083984,guard-only,0,0.0,0.0,0.0,0.0,0.00283477,0.006675905,0.037755333,7.505426765419543e-05,-0.01195030752569437,0.6623371839523315,0.7491106390953064,0.0005345344543457031,73,4.9948692e-05,0.00010574004,0.0001169436940646827,4.122580528259277,105.14007568359375
1779198413.6042662,0.8564767837524414,guard-only,0,0.0,0.0,0.0,0.0,0.0028257659,0.0065979576,0.037734486,0.001206141198053956,-0.015266288071870804,0.6624384522438049,0.7489597797393799,0.013108253479003906,74,4.0944666e-05,2.7792528e-05,4.948626275779864e-05,4.127859115600586,105.12422943115234
1779198413.7098718,0.9620823860168457,guard-only,0,0.0,0.0,0.0,0.0,0.0027819704,0.0065729115,0.03779207,-1.8040043869405054e-05,-0.011616109870374203,0.6624472737312317,0.7490184903144836,0.015468835830688477,75,-2.8507784e-06,2.7464703e-06,3.9585396864220186e-06,4.122580528259277,105.14087677001953
1779198413.7927983,1.045008897781372,guard-only,0,0.0,0.0,0.0,0.0,0.0028201155,0.006645826,0.03778498,0.00021874913363717496,-0.012311715632677078,0.6624372601509094,0.7490162253379822,0.009789466857910156,76,3.529433e-05,7.566111e-05,8.348828466065696e-05,4.127859115600586,105.12283325195312
1779198413.8959627,1.1481733322143555,guard-only,0,0.0,0.0,0.0,0.0,0.0027649654,0.0066268397,0.037778813,0.00024896764080040157,-0.012079335749149323,0.6623219847679138,0.749121904373169,0.01879143714904785,77,-1.9855797e-05,5.6674704e-05,6.0052265671385804e-05,4.122580528259277,105.10554504394531
1779198413.9618142,1.2140247821807861,guard-only,0,0.0,0.0,0.0,0.0,0.0028290562,0.0065875626,0.03770413,0.00046169760753400624,-0.013328800909221172,0.662377119064331,0.7490518689155579,0.0011801719665527344,78,4.423503e-05,1.7397571e-05,4.753328413919889e-05,4.122580528259277,105.07803344726562
1779198414.0639436,1.3161542415618896,guard-only,0,0.0,0.0,0.0,0.0,0.0027740384,0.0065756855,0.037730183,0.0009347371524199843,-0.014804807491600513,0.6625223159790039,0.7488952875137329,0.009773492813110352,79,-1.0782853e-05,5.5204146e-06,1.2113830691156531e-05,4.122580528259277,105.08059692382812
1779198414.1650085,1.4172191619873047,guard-only,0,0.0,0.0,0.0,0.0,0.0027846824,0.0066245534,0.037793834,-0.00012009903002763167,-0.011341037228703499,0.6624274253845215,0.7490402460098267,0.009093046188354492,80,-1.3876706e-07,5.4388307e-05,5.4388485129248746e-05,4.122580528259277,105.09049987792969
1779198414.2680888,1.5202994346618652,guard-only,0,0.0,0.0,0.0,0.0,0.002793815,0.0066331113,0.03779758,0.00024036575632635504,-0.012346557341516018,0.6624811291694641,0.7489768266677856,0.019999027252197266,81,8.993782e-06,6.294623e-05,6.358550199666121e-05,4.122580528259277,105.07518768310547
1779198414.330337,1.582547664642334,guard-only,0,0.0,0.0,0.0,0.0,0.0027880082,0.0066256886,0.03779118,0.00027702172519639134,-0.011912861838936806,0.6625357270240784,0.7489355206489563,0.01787734031677246,82,3.1869859e-06,5.552359e-05,5.561498051333885e-05,4.122580528259277,105.07518768310547
1779198414.4114625,1.6636731624603271,guard-only,0,0.0,0.0,0.0,0.0,0.002769676,0.0066145835,0.03780193,0.00038439224590547383,-0.012589070945978165,0.6623058319091797,0.7491277456283569,0.019800186157226562,83,-1.5145168e-05,4.44185e-05,4.6929512760372686e-05,4.122580528259277,105.10293579101562
1779198414.4728944,1.7251050472259521,guard-only,0,0.0,0.0,0.0,0.0,0.0027603358,0.006583886,0.037760597,0.0009239895734935999,-0.014475339092314243,0.6624830365180969,0.7489364743232727,0.006119251251220703,84,-2.4485402e-05,1.37211755e-05,2.8067874848916137e-05,4.122580528259277,105.09355163574219
1779198414.5754836,1.8276941776275635,guard-only,0,0.0,0.0,0.0,0.0,0.0027542645,0.0065802606,0.037742566,0.0012311891186982393,-0.015643373131752014,0.6625235080718994,0.7488767504692078,0.016101837158203125,85,-3.0556694e-05,1.0095537e-05,3.218122680147676e-05,4.122580528259277,105.12088012695312
1779198414.6368272,1.889037847518921,guard-only,0,0.0,0.0,0.0,0.0,0.0027944036,0.006602376,0.037737425,0.0010925441747531295,-0.014913267455995083,0.6625719666481018,0.7488489747047424,0.0060880184173583984,86,9.582378e-06,3.2210723e-05,3.360584192411578e-05,4.122580528259277,105.15074157714844
1779198414.7177365,1.969947099685669,guard-only,0,0.0,0.0,0.0,0.0,0.0027908748,0.006598102,0.037749697,0.0012361276894807816,-0.015228119678795338,0.6625997424125671,0.7488178610801697,0.015636920928955078,87,6.0535967e-06,2.7936883e-05,2.858523196310506e-05,4.122580528259277,105.15074157714844
1779198414.8825803,2.1347908973693848,guard-only,0,0.0,0.0,0.0,0.0,0.0027691014,0.006610658,0.03774003,0.0007222577114589512,-0.01416353601962328,0.662476122379303,0.748948872089386,0.014928102493286133,88,-1.5719794e-05,4.0492974e-05,4.3437229931313116e-05,4.122580528259277,105.16350555419922
1779198414.9044933,2.1567039489746094,guard-only,0,0.0,0.0,0.0,0.0,0.0027584052,0.0066332845,0.037790276,0.00052862917073071,-0.012946749106049538,0.6623552441596985,0.7490778565406799,0.016112089157104492,89,-2.6416034e-05,6.3119456e-05,6.842421111955669e-05,4.122580528259277,105.16350555419922
