wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,battery_v,estimate_z
1779199636.1193914,0.0007195472717285156,hold-xy,0,0.0,-0.0,0.0,0.0,0.0032747146,-0.001838089,0.037555885,0.006940613035112619,-0.005353725049644709,-0.6439668536186218,-0.7650032043457031,0.06908631324768066,52,0.0,0.0,0.0,0.0,0.0,0.0,3.9536657333374023,103.77459716796875
1779199636.162773,0.04410099983215332,hold-xy,0,0.0,3.0725092e-05,-0.00023841683,0.0,0.0033034626,-0.0018343842,0.03756702,0.006574528757482767,-0.004478413611650467,-0.6440222263336182,-0.7649654150009155,0.007653713226318359,53,2.8748065e-05,3.7048012e-06,2.8985803715050443e-05,8.228305e-05,1.0603925e-05,8.296350732971352e-05,3.9483871459960938,103.77397918701172
1779199636.2443533,0.12568140029907227,hold-xy,0,0.0,-0.00025810068,9.936404e-05,0.0,0.0032741604,-0.0018620593,0.03755772,0.006537754088640213,-0.004465878941118717,-0.64389967918396,-0.7650690078735352,0.01739335060119629,54,-5.5413693e-07,-2.397038e-05,2.3976785641859697e-05,-6.4764994e-05,-0.00010814611,0.00012605587616345987,3.9483871459960938,103.77397918701172
1779199636.325807,0.20713520050048828,hold-xy,0,0.0,-3.641015e-05,0.000107731365,0.0,0.0032701893,-0.0018437421,0.03757946,0.006712744943797588,-0.0050903502851724625,-0.6439853310585022,-0.7649914622306824,0.016217708587646484,55,-4.5252964e-06,-5.653128e-06,7.241281865146983e-06,-5.9753453e-05,-9.198426e-06,6.0457307346867155e-05,3.9483871459960938,103.7764892578125
1779199636.3919425,0.2732706069946289,hold-xy,0,0.0,-0.000112911184,6.165599e-05,0.0,0.0032721069,-0.0018518018,0.037576355,0.006567617412656546,-0.005154336802661419,-0.6440641283988953,-0.7649259567260742,0.007420778274536133,56,-2.6077032e-06,-1.3712794e-05,1.39585394662346e-05,-3.4150118e-05,-3.8706672e-05,5.161818589784998e-05,3.9483871459960938,103.79550170898438
1779199636.475313,0.3566410541534424,hold-xy,0,0.0,-0.00024877707,0.00015746817,0.0,0.0032612616,-0.0018667541,0.037583217,0.006765866652131081,-0.005193558055907488,-0.6438680291175842,-0.7650890350341797,0.01880812644958496,57,-1.3452955e-05,-2.8665178e-05,3.166503415381212e-05,-6.910424e-05,-8.94109e-05,0.00011300312072319408,3.9483871459960938,103.78759002685547
1779199636.5591073,0.44043540954589844,hold-xy,0,0.0,4.2093765e-05,0.00013236734,0.0,0.0032606283,-0.0018402822,0.03756006,0.0069540804252028465,-0.005904205143451691,-0.6441744565963745,-0.7648242115974426,0.020305395126342773,58,-1.4086254e-05,-2.1932647e-06,1.4255980222979928e-05,-5.068155e-05,3.3911216e-05,6.098024172191921e-05,3.9483871459960938,103.79804229736328
1779199636.64329,0.5246181488037109,hold-xy,0,0.0,-3.978937e-05,-0.000101306854,0.0,0.003283252,-0.0018474301,0.03751136,0.006829179357737303,-0.004333158489316702,-0.6438421607017517,-0.7651156187057495,0.019912004470825195,59,8.537434e-06,-9.341165e-06,1.2654846784665292e-05,4.4771412e-05,-1.6164722e-06,4.480058336854608e-05,3.9483871459960938,103.79804229736328
1779199636.726188,0.6075160503387451,hold-xy,0,0.0,5.6914632e-06,0.0001955703,0.0,0.0032502888,-0.0018420992,0.037555322,0.006743159610778093,-0.004639856051653624,-0.6439735293388367,-0.7650039792060852,0.000423431396484375,60,-2.4425797e-05,-4.010275e-06,2.4752815783751836e-05,-6.524474e-05,1.4488375e-05,6.68340419305389e-05,3.9483871459960938,103.8003921508789
1779199636.831628,0.7129561901092529,hold-xy,0,0.0,-5.6954894e-05,-0.000101370264,0.0,0.003280894,-0.0018485188,0.03754481,0.007100856397300959,-0.005602060351520777,-0.6439425349235535,-0.7650204300880432,0.010986804962158203,61,6.1793253e-06,-1.04298815e-05,1.2122973831932539e-05,5.1101975e-05,-1.0156911e-05,5.210158142683455e-05,3.9483871459960938,103.80564880371094
1779199636.9141827,0.7955107688903809,hold-xy,0,0.0,6.485799e-05,-0.00021729543,0.0,0.0032956768,-0.0018360429,0.03754756,0.0067513552494347095,-0.004754284862428904,-0.6439895033836365,-0.7649897933006287,0.010168313980102539,62,2.0962209e-05,2.0461157e-06,2.106183200081082e-05,8.89644e-05,3.778235e-05,9.665490464882986e-05,3.9483871459960938,103.78143310546875
1779199637.0158787,0.8972067832946777,hold-xy,0,0.0,-5.490917e-05,-0.00016011448,0.0,0.003293626,-0.0018483335,0.037540086,0.007160732988268137,-0.0058014229871332645,-0.6439447402954102,-0.765016496181488,0.008682489395141602,63,1.8911436e-05,-1.0244548e-05,2.150797958849663e-05,5.6312485e-05,-9.28732e-06,5.707320202528008e-05,3.9483871459960938,103.78787994384766
1779199637.0997317,0.9810597896575928,hold-xy,0,0.0,-0.00037573534,0.00017709815,0.0,0.00326032,-0.001883042,0.03752807,0.006490768864750862,-0.004373942501842976,-0.6440219879150391,-0.7649669051170349,0.008640527725219727,64,-1.4394522e-05,-4.4953078e-05,4.7201499732610766e-05,-7.968004e-05,-0.00013061536,0.00015300091453287744,3.9483871459960938,103.83197784423828
1779199637.183271,1.0645990371704102,hold-xy,0,0.0,-0.00014037061,0.00044667206,0.0,0.0032276362,-0.0018641455,0.037527937,0.00697912136092782,-0.004846486262977123,-0.6438936591148376,-0.7650678157806396,0.007988691329956055,65,-4.7078356e-05,-2.6056543e-05,5.3808132273692213e-05,-0.00017223909,-2.409629e-05,0.00017391645651420156,3.9483871459960938,103.82508087158203
