wall_time_s,elapsed_s,phase_index,phase_name,phase_elapsed_s,roll_norm,pitch_norm,yaw_norm,thrust_norm,roll_deg,pitch_deg,yawrate_deg_s,thrust_raw,thrust_axis_seen,button_5,button_9,event_count,last_event_age_s,mocap_x,mocap_y,mocap_z,height_above_floor,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,horizontal_distance_from_start_m
1779121919.7787313,8.03233003616333,-1,preflight_wait,0.002518177032470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.032533407211304,,,,,,,,,,0,,,,
1779121919.7988813,8.052479982376099,-1,preflight_wait,0.022619962692260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.052639245986938,,,,,,,,,,0,,,,
1779121919.818816,8.072414636611938,-1,preflight_wait,0.042537689208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.07256031036377,,,,,,,,,,0,,,,
1779121919.838871,8.092469692230225,-1,preflight_wait,0.06258797645568848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.092612743377686,,,,,,,,,,0,,,,
1779121919.8588276,8.112426280975342,-1,preflight_wait,0.08257412910461426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.112580060958862,,,,,,,,,,0,,,,
1779121919.8788166,8.132415294647217,-1,preflight_wait,0.10254406929016113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.132564067840576,,,,,,,,,,0,,,,
1779121919.8988023,8.152400970458984,-1,preflight_wait,0.12251877784729004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.152543067932129,,,,,,,,,,0,,,,
1779121919.9197567,8.173355340957642,-1,preflight_wait,0.14350271224975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.173510313034058,,,,,,,,,,0,,,,
1779121919.938776,8.19237470626831,-1,preflight_wait,0.16251182556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.192521810531616,,,,,,,,,,0,,,,
1779121919.958809,8.21240758895874,-1,preflight_wait,0.18253207206726074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.212554931640625,,,,,,,,,,0,,,,
1779121919.9788983,8.232496976852417,-1,preflight_wait,0.2026197910308838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.232642412185669,,,,,,,,,,0,,,,
1779121919.998867,8.252465724945068,-1,preflight_wait,0.22259116172790527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.252614498138428,,,,,,,,,,0,,,,
1779121920.0188189,8.272417545318604,-1,preflight_wait,0.24255800247192383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.272568464279175,,,,,,,,,,0,,,,
1779121920.0388076,8.2924063205719,-1,preflight_wait,0.2625281810760498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.292551040649414,,,,,,,,,,0,,,,
1779121920.0588803,8.312479019165039,-1,preflight_wait,0.28260064125061035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.312623739242554,,,,,,,,,,0,,,,
1779121920.0788984,8.332497119903564,-1,preflight_wait,0.30262088775634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.332643747329712,,,,,,,,,,0,,,,
1779121920.0988975,8.352496147155762,-1,preflight_wait,0.3226196765899658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.352642059326172,,,,,,,,,,0,,,,
1779121920.1188247,8.37242341041565,-1,preflight_wait,0.3425600528717041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.37257194519043,,,,,,,,,,0,,,,
1779121920.1388354,8.392434120178223,-1,preflight_wait,0.36257243156433105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.392584800720215,,,,,,,,,,0,,,,
1779121920.15886,8.412458658218384,-1,preflight_wait,0.38257837295532227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.412602424621582,,,,,,,,,,0,,,,
1779121920.1788743,8.432472944259644,-1,preflight_wait,0.40259552001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.432618141174316,,,,,,,,,,0,,,,
1779121920.1988904,8.452489137649536,-1,preflight_wait,0.42261242866516113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.452635288238525,,,,,,,,,,0,,,,
1779121920.2188244,8.472423076629639,-1,preflight_wait,0.44256114959716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.472572803497314,,,,,,,,,,0,,,,
1779121920.238851,8.492449760437012,-1,preflight_wait,0.46259379386901855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.492602348327637,,,,,,,,,,0,,,,
1779121920.2588792,8.51247787475586,-1,preflight_wait,0.4826035499572754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.512624263763428,,,,,,,,,,0,,,,
