wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779201893.243904,0.0008528232574462891,hold-xy,0,0.0,0.0,0.0,0.0,0.0065411497,-0.0011275932,0.03695447,0.014981230720877647,-0.014634819701313972,-0.6537638306617737,-0.7564087510108948,81.6694641088558,0.011928796768188477,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059237480163574,104.38065338134766
1779201893.3275602,0.08450889587402344,hold-xy,0,0.0,0.00024145214,-0.00012896201,0.0,0.0065635815,-0.0011195401,0.03694447,0.015469096601009369,-0.015346188098192215,-0.6535655856132507,-0.7565562129020691,81.64127939326829,0.0030667781829833984,50,2.2431836e-05,8.053146e-06,2.383359914096897e-05,7.2737676e-05,2.6113206e-05,7.728304488063344e-05,-1.12285215e-05,2.102286e-05,3.6409707e-05,-6.816892e-05,4.059237480163574,104.38323211669922
1779201893.42954,0.18648862838745117,hold-xy,0,0.0,-6.89823e-05,0.00012963198,0.0,0.006538665,-0.0011356855,0.036938265,0.014903269708156586,-0.014137531630694866,-0.653692901134491,-0.7564810514450073,81.65735281785791,0.020329713821411133,51,-2.4847686e-06,-8.092262e-06,8.465150685908114e-06,-3.731857e-05,-3.8895043e-05,5.390268862238561e-05,8.367152e-06,-1.284347e-06,-4.389811e-05,3.128028e-05,4.059237480163574,104.37153625488281
1779201893.5109415,0.26789021492004395,hold-xy,0,0.0,-0.00024026324,-6.3525506e-05,0.0,0.006523952,-0.0011183703,0.03696014,0.015340487472712994,-0.015074378810822964,-0.6534773111343384,-0.7566404342651367,81.62715464612786,0.0038805007934570312,52,-1.7197803e-05,9.2228875e-06,1.9514765310585666e-05,-7.1231574e-05,2.5859854e-05,7.578040281682942e-05,-6.620341e-06,-1.8357483e-05,1.5211898e-05,7.423791e-05,4.059237480163574,104.35613250732422
1779201893.6178393,0.3747880458831787,hold-xy,0,0.0,0.0002214693,-0.00015310451,0.0,0.0065616686,-0.0011151005,0.03694792,0.015455466695129871,-0.015382898971438408,-0.6536574959754944,-0.7564762830734253,81.65532422187789,0.015883207321166992,53,2.0518899e-05,1.2492761e-05,2.402278629274847e-05,6.937491e-05,2.8439226e-05,7.497778054793741e-05,-1.5338359e-05,1.8488616e-05,3.820636e-05,-6.451311e-05,4.059237480163574,104.35508728027344
1779201893.7013483,0.4582970142364502,hold-xy,0,0.0,0.0001944698,2.6960292e-05,0.0,0.0065606944,-0.0011287378,0.036966365,0.015086838975548744,-0.01458214595913887,-0.6536120772361755,-0.7565388083457947,81.64626751626268,0.007475137710571289,54,1.9544736e-05,-1.1445954e-06,1.957822196240087e-05,4.538295e-05,-2.4602321e-05,5.162253685766288e-05,-1.7070884e-06,1.9503657e-05,-1.7747867e-05,-4.847576e-05,4.059237480163574,104.35444641113281
1779201893.803827,0.5607757568359375,hold-xy,0,0.0,-0.00020504347,0.00026367288,0.0,0.006523676,-0.0011462886,0.036911566,0.015743650496006012,-0.015577039681375027,-0.653465211391449,-0.7566325068473816,81.62663540434627,0.007798671722412109,55,-1.7473474e-05,-1.869537e-05,2.55898246841889e-05,-7.6943616e-05,-6.8763125e-05,0.00010319247678635402,2.1040622e-05,-1.4564732e-05,-7.923489e-05,6.6109904e-05,4.059237480163574,104.33323669433594
1779201893.8861895,0.6431381702423096,hold-xy,0,0.0,-0.00016736687,1.6828557e-05,0.0,0.0065258667,-0.0011303024,0.03693835,0.015357608906924725,-0.015187443234026432,-0.6535382270812988,-0.7565852999687195,81.63671229288246,0.008535385131835938,56,-1.5283003e-05,-2.7092174e-06,1.5521277071020884e-05,-4.5809866e-05,1.0619926e-05,4.7024745372261636e-05,4.903306e-06,-1.4726427e-05,3.8439866e-06,4.686737e-05,4.059237480163574,104.32909393310547
1779201893.9671414,0.7240900993347168,hold-xy,0,0.0,-8.097039e-05,3.93356e-05,0.0,0.0065303,-0.0011326075,0.036917314,0.015379361808300018,-0.015253083780407906,-0.6534796357154846,-0.7566341161727905,81.62801913238633,0.007767677307128906,57,-1.0849908e-05,-5.0142407e-06,1.1952535723883302e-05,-1.579262e-05,-1.0279969e-06,1.5826042526942753e-05,6.540545e-06,-1.0004218e-05,-3.3164356e-06,1.5474654e-05,4.059237480163574,104.32909393310547
1779201894.0509775,0.8079261779785156,hold-xy,0,0.0,0.00019157646,-1.9366362e-05,0.0,0.0065521616,-0.0011311546,0.03694965,0.015139132738113403,-0.015029252506792545,-0.6536425352096558,-0.7565026879310608,81.65215325246244,0.009317398071289062,58,1.1011958e-05,-3.5613775e-06,1.1573531507892729e-05,6.8649264e-05,4.5772586e-06,6.880169013213415e-05,1.924901e-06,1.1412335e-05,1.4495434e-05,-6.725739e-05,4.059237480163574,104.3648681640625
