wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,battery_v,estimate_z
1779198855.1183462,0.0005142688751220703,guard-only,0,0.0,0.0,0.0,0.0,0.012018723,0.00058421073,0.03765883,-0.00427761347964406,-0.00284730177372694,0.6084506511688232,0.7935750484466553,0.0210268497467041,108,0.0,0.0,0.0,0.0,0.0,0.0,4.117301940917969,104.16189575195312
1779198855.1804523,0.06262040138244629,guard-only,0,0.0,0.0,0.0,0.0,0.012026037,0.0005947021,0.03764651,-0.00433322275057435,-0.003290287684649229,0.6084817051887512,0.7935492992401123,0.0005075931549072266,109,7.313676e-06,1.0491349e-05,1.2788989415775093e-05,2.6554826e-05,3.8092465e-05,4.6434842050290114e-05,4.117301940917969,104.17057800292969
1779198855.283466,0.1656341552734375,guard-only,0,0.0,0.0,0.0,0.0,0.012034587,0.000591252,0.037642907,-0.004302427172660828,-0.003261726349592209,0.6084549427032471,0.7935701012611389,0.011122465133666992,110,1.5863217e-05,7.0412643e-06,1.7355721703811963e-05,4.6346966e-05,1.5463018e-05,4.8858430781620335e-05,4.117301940917969,104.14352416992188
1779198855.3646545,0.24682259559631348,guard-only,0,0.0,0.0,0.0,0.0,0.012032372,0.00059951236,0.037637427,-0.004168207757174969,-0.0037454033736139536,0.6083935499191284,0.7936157584190369,0.0001995563507080078,111,1.3648532e-05,1.530163e-05,2.0504202205362e-05,2.5229807e-05,3.7727525e-05,4.538622183170951e-05,4.117301940917969,104.12580871582031
1779198855.4700072,0.352175235748291,guard-only,0,0.0,0.0,0.0,0.0,0.012025526,0.000592764,0.037642386,-0.0044325352646410465,-0.0026077660731971264,0.6084786057472229,0.7935535907745361,0.02009129524230957,112,6.80238e-06,8.5532665e-06,1.0928437357324604e-05,-6.3717143e-06,2.719964e-06,6.927982873454852e-06,4.117301940917969,104.12857055664062
1779198855.5554569,0.4376249313354492,guard-only,0,0.0,0.0,0.0,0.0,0.012029723,0.0006042104,0.03762108,-0.004346631467342377,-0.003126805182546377,0.6084170341491699,0.7935994267463684,0.0008490085601806641,113,1.0999851e-05,1.9999687e-05,2.2825078318051218e-05,7.5678595e-06,3.4704255e-05,3.551982389136013e-05,4.117301940917969,104.13426971435547
1779198855.640996,0.5231640338897705,guard-only,0,0.0,0.0,0.0,0.0,0.012033129,0.0005869679,0.037659444,-0.004373884294182062,-0.003149523865431547,0.6084290146827698,0.7935900092124939,0.006350994110107422,114,1.4405698e-05,2.7571805e-06,1.4667179922546556e-05,1.8063503e-05,-4.0336436e-05,4.419635928303505e-05,4.117301940917969,104.09944915771484
1779198855.7425888,0.6247568130493164,guard-only,0,0.0,0.0,0.0,0.0,0.01203759,0.0005924143,0.037664745,-0.004277609288692474,-0.0028160596266388893,0.6084892153739929,0.7935456037521362,0.006005525588989258,115,1.8866733e-05,8.203555e-06,2.0573086927966315e-05,2.5773092e-05,-1.2207052e-05,2.8517790942986004e-05,4.117301940917969,104.08367156982422
1779198855.8241022,0.7062702178955078,guard-only,0,0.0,0.0,0.0,0.0,0.012024045,0.00057560625,0.03764017,-0.004254375118762255,-0.0031207185238599777,0.6084670424461365,0.793561577796936,0.004742860794067383,116,5.321577e-06,-8.604489e-06,1.01171347233513e-05,-3.1049676e-05,-6.946125e-05,7.608513644358801e-05,4.117301940917969,104.09573364257812
1779198855.9084961,0.7906641960144043,guard-only,0,0.0,0.0,0.0,0.0,0.012073582,0.00061554555,0.03759189,-0.003767747897654772,-0.005766029469668865,0.6084676384925842,0.7935487627983093,0.0064237117767333984,117,5.4858625e-05,3.1334814e-05,6.317704693242458e-05,0.0001579358,9.6236734e-05,0.00018494655679828756,4.117301940917969,104.09573364257812
