wall_time_s,elapsed_s,phase_index,phase_name,phase_elapsed_s,roll_norm,pitch_norm,yaw_norm,thrust_norm,roll_deg,pitch_deg,yawrate_deg_s,thrust_raw,thrust_axis_seen,button_5,button_9,event_count,last_event_age_s,mocap_x,mocap_y,mocap_z,height_above_floor,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,horizontal_distance_from_start_m
1779126767.053326,0.4325673580169678,-1,preflight_wait,0.0010554790496826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.42429518699645996,0.0052492805,0.008536001,0.03672053,-0.00027947128,-0.01113121584057808,0.0038277741987258196,0.5891661047935486,0.8079261779785156,0.004583120346069336,3,,,,0.0
1779126767.073413,0.4526543617248535,-1,preflight_wait,0.021130800247192383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.4443850517272949,0.0052492805,0.008536001,0.03672053,-0.00027947128,-0.01113121584057808,0.0038277741987258196,0.5891661047935486,0.8079261779785156,0.024675607681274414,3,,,,0.0
1779126767.0935562,0.4727976322174072,-1,preflight_wait,0.041290998458862305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.46453285217285156,0.0052492805,0.008536001,0.03672053,-0.00027947128,-0.01113121584057808,0.0038277741987258196,0.5891661047935486,0.8079261779785156,0.04482531547546387,3,,,,0.0
1779126767.1134536,0.4926950931549072,-1,preflight_wait,0.06119871139526367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.48443174362182617,0.0052492805,0.008536001,0.03672053,-0.00027947128,-0.01113121584057808,0.0038277741987258196,0.5891661047935486,0.8079261779785156,0.06472897529602051,3,,,,0.0
1779126767.133402,0.512643575668335,-1,preflight_wait,0.08111977577209473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.50437331199646,0.0052492805,0.008536001,0.03672053,-0.00027947128,-0.01113121584057808,0.0038277741987258196,0.5891661047935486,0.8079261779785156,0.08466434478759766,3,,,,0.0
1779126767.153406,0.5326473712921143,-1,preflight_wait,0.1011350154876709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.5243768692016602,0.0052725933,0.008549719,0.036759976,-0.00024002418,-0.011149721220135689,0.004080628044903278,0.5892932415008545,0.8078320026397705,0.012926578521728516,4,0.00025411588,0.00014953368,0.0004299829,2.7049653e-05
1779126767.1734023,0.5526437759399414,-1,preflight_wait,0.1211249828338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.5443747043609619,0.0052725933,0.008549719,0.036759976,-0.00024002418,-0.011149721220135689,0.004080628044903278,0.5892932415008545,0.8078320026397705,0.03292417526245117,4,0.00025411588,0.00014953368,0.0004299829,2.7049653e-05
1779126767.193407,0.5726485252380371,-1,preflight_wait,0.1411292552947998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.5643792152404785,0.0052725933,0.008549719,0.036759976,-0.00024002418,-0.011149721220135689,0.004080628044903278,0.5892932415008545,0.8078320026397705,0.05292963981628418,4,0.00025411588,0.00014953368,0.0004299829,2.7049653e-05
1779126767.213423,0.5926644802093506,-1,preflight_wait,0.1611330509185791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.5843908786773682,0.0052725933,0.008549719,0.036759976,-0.00024002418,-0.011149721220135689,0.004080628044903278,0.5892932415008545,0.8078320026397705,0.07293939590454102,4,0.00025411588,0.00014953368,0.0004299829,2.7049653e-05
1779126767.2337353,0.6129767894744873,-1,preflight_wait,0.18148446083068848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.604712963104248,0.005250741,0.008554077,0.036746092,-0.00025390834,-0.011354660615324974,0.004735925234854221,0.5891587734222412,0.8079236149787903,0.0017309188842773438,5,-0.00023873603,4.7606794e-05,-0.00015168243,1.8134931e-05
